beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score
"F'Hops Sake","Half Moon Brewery","Golden Ale",3.9,0,,,,,,,,3,"2016-07-08 19:47:04",https://untappd.com/c/333224380,https://untappd.com/beer/560959,https://untappd.com/brewery/96818,England,"Ellerton, York","North Yorkshire, YO42 4PB",,,,333224380,560959,96818,,3.42,3.48
"Dead Pony Club",BrewDog,"Pale Ale - American",3.8,40,,Walkabout,Lincoln,Lincolnshire,"United Kingdom",53.2302,-0.540209,3.25,"2016-07-09 18:27:07",https://untappd.com/c/333750586,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,333750586,164769,241,,3.58,3.58
Frontier,"Fuller, Smith & Turner ","Lager - Pale",4.5,0,,,,,,,,3.25,"2016-07-09 19:02:48",https://untappd.com/c/333773950,https://untappd.com/beer/374584,https://untappd.com/brewery/3296,England,London,"Greater London",,,,333773950,374584,3296,,3.31,3.32
"5AM Saint",BrewDog,"Red Ale - American Amber / Red",5,35,,"The Mailbox",Lincoln,Lincolnshire,"United Kingdom",53.2294,-0.541535,3.25,"2016-07-10 11:13:47",https://untappd.com/c/334321242,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,334321242,6976,241,,3.64,3.64
"Belgian White","Blue Moon Brewing Company",Witbier,5.4,9,,,,,,,,3.25,"2016-07-10 11:14:39",https://untappd.com/c/334321285,https://untappd.com/beer/3839,https://untappd.com/brewery/127804,"United States",Denver,CO,,,,334321285,3839,127804,,3.49,3.49
"Vedett Extra White","Duvel Moortgat",Witbier,4.7,4,,"Kind Bar",Lincoln,Lincolnshire,"United Kingdom",53.2317,-0.539645,3.25,"2016-07-10 11:16:07",https://untappd.com/c/334321378,https://untappd.com/beer/11097,https://untappd.com/brewery/167,Belgium,Puurs,Antwerpen,,,,334321378,11097,167,,3.53,3.53
"5AM Saint",BrewDog,"Red Ale - American Amber / Red",5,35,,"Ritz (Wetherspoon)",Lincoln,Lincolnshire,"United Kingdom",53.2243,-0.543221,3.25,"2016-07-10 11:16:43",https://untappd.com/c/334321411,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,334321411,6976,241,,3.64,3.64
"Proper Job","St Austell Brewery","IPA - English",4.5,0,,,,,,,,3.5,"2016-07-18 01:36:44",https://untappd.com/c/337461637,https://untappd.com/beer/5513,https://untappd.com/brewery/1186,England,"St. Austell",Cornwall,,,,337461637,5513,1186,,3.49,3.5
Landlord,"Timothy Taylor's","Pale Ale - English",4.3,0,,,,,,,,4,"2016-07-18 01:36:46",https://untappd.com/c/337461499,https://untappd.com/beer/8676,https://untappd.com/brewery/2386,England,Keighley,"West Yorkshire",,,,337461499,8676,2386,,3.56,3.56
"Bass Pale Ale","Bass Brewers","Pale Ale - English",5,49,,,,,,,,3.5,"2016-07-18 01:37:10",https://untappd.com/c/337461779,https://untappd.com/beer/5872,https://untappd.com/brewery/85,England,Shamlesbury,Lancashire,,,,337461779,5872,85,,3.32,3.32
